**********************************************
* Logging started at Thu Feb 27 22:56:30 2025
* By 3dec Version 7.00 Release 161
* 
* 
* Job Title: 
**********************************************
3dec>log-file 'init_state.txt'
**********************************************
* Logging ended at Thu Feb 27 22:56:30 2025
**********************************************
**********************************************
* Logging started at Thu Feb 27 22:56:37 2025
* By 3dec Version 7.00 Release 161
* 
* 
* Job Title: 
**********************************************
3dec>@contacts_output
contact = 1 1 1 0 (0.362109,-0.687714,0.997993) (0,0,-1)
subcontact = (-0.631105,-0.385754,3.85895) 0 (0,0,0) 52 2.19611e-05 (0.000125776,0.00014404,-0.000480961) 0 0 0.0284822
subcontact = (-0.707106,-0.755706,4.28399) 0 (0,0,0) 51 4.96809e-05 (9.66437e-05,0.000218796,-0.000421094) 0 0 0.0141943
subcontact = (-0.572088,-0.764753,3.847) 0 (0,0,0) 50 2.42534e-05 (0.000106787,0.000139046,-0.000416332) 0 0 0.0298967
subcontact = (-0.443071,-0.7378,3.41) 3836.82 (-675.994,-628.617,2515.6) 49 -1.44727e-06 (0.00011875,5.9593e-05,-0.00041768) 86836.3 60646.2 0.0441845
subcontact = (-0.773124,-0.385704,4.32394) 0 (0,0,0) 48 4.90898e-05 (0.000114499,0.000228819,-0.000484404) 0 0 0.0442941
contact = 7 1 7 6 (-1.17893,-0.592873,3.25525) (0.521913,0.382295,0.762533)
subcontact = (-0.904068,-0.385874,2.96394) 6716.56 (-1294.13,-1483.97,1629.75) 47 -7.57847e-06 (3.50449e-06,4.01855e-06,-4.41333e-06) 454708 173038 0.0147712
subcontact = (-1.27108,-0.38586,3.21392) 3696.54 (-767.378,-1868.52,1462.01) 46 -2.02845e-06 (3.1357e-06,5.56116e-06,-4.9343e-06) 121707 82098.4 0.0303725
subcontact = (-1.38807,-0.842827,3.52397) 0 (0,0,0) 45 7.11151e-06 (1.37401e-06,6.51803e-06,-4.20824e-06) 0 0 0.0167542
subcontact = (-1.65709,-0.385844,3.47891) 0 (0,0,0) 44 3.83097e-06 (2.75711e-06,7.20451e-06,-5.49907e-06) 0 0 0.0489932
subcontact = (-0.776056,-0.754857,3.06099) 10102.6 (-2700.3,-4510.85,4109.72) 43 -3.58172e-06 (2.29763e-06,3.8382e-06,-3.49688e-06) 214903 141949 0.0470101
subcontact = (-1.07706,-0.801842,3.28998) 0 (0,0,0) 42 1.73117e-06 (1.82732e-06,5.154e-06,-3.83465e-06) 0 0 0.0333918
subcontact = (-0.904067,-0.385875,2.96395) 6716.49 (-1294.13,-1483.97,1629.75) 41 -7.57839e-06 (3.50447e-06,4.01857e-06,-4.41333e-06) 454704 173038 0.0147712
subcontact = (-1.27108,-0.385865,3.21393) 3696.38 (-767.325,-1868.43,1461.93) 40 -2.02836e-06 (3.13569e-06,5.56118e-06,-4.9343e-06) 121702 82094.2 0.0303725
subcontact = (-1.38808,-0.842837,3.52397) 0 (0,0,0) 39 7.1116e-06 (1.374e-06,6.51804e-06,-4.20824e-06) 0 0 0.0167542
subcontact = (-1.07707,-0.801848,3.28998) 0 (0,0,0) 38 1.73124e-06 (1.82731e-06,5.15401e-06,-3.83465e-06) 0 0 0.0333918
subcontact = (-0.776056,-0.754859,3.06099) 10102.4 (-2700.29,-4510.87,4109.72) 37 -3.58165e-06 (2.29762e-06,3.83821e-06,-3.49688e-06) 214899 141949 0.0470101
subcontact = (-1.65709,-0.385853,3.47891) 0 (0,0,0) 36 3.83106e-06 (2.7571e-06,7.20452e-06,-5.49906e-06) 0 0 0.0489932
contact = 8 1 8 7 (-1.31312,-0.628974,2.48719) (0.234627,0.324255,0.916411)
subcontact = (-1.27001,-0.385978,2.39006) 0 (0,0,0) 35 0 (0,0,0) 0 0 0.00585178
subcontact = (-1.03803,-0.385949,2.33094) 23736.8 (-349.446,-5027.46,1868.34) 34 -3.38028e-05 (1.19433e-06,1.71826e-05,-6.38553e-06) 2.02817e+06 459242 0.0117036
subcontact = (-1.27002,-0.499117,2.42998) 0 (0,0,0) 33 0 (0,0,0) 0 0 0.00957686
subcontact = (-1.59403,-0.884939,2.64996) 337.288 (-32.6661,-91.582,40.768) 32 -2.06168e-05 (4.79214e-06,1.34351e-05,-5.98069e-06) 1.23701e+06 386681 0.000272664
subcontact = (-1.27001,-0.615177,2.47102) 0 (0,0,0) 31 0 (0,0,0) 0 0 0.0102729
subcontact = (-0.917024,-0.768932,2.43499) 1561.97 (-126.619,-730.824,291.007) 30 -1.1846e-06 (3.68614e-06,1.77071e-05,-7.2091e-06) 71074.4 36255 0.0219765
subcontact = (-1.25403,-0.825936,2.54198) 4285.53 (-691.215,-2552.92,1080.27) 29 -1.09083e-05 (4.22255e-06,1.55955e-05,-6.59926e-06) 654495 436319 0.00654784
subcontact = (-1.68703,-0.654949,2.59198) 0 (0,0,0) 28 0 (0,0,0) 0 0 0.0141058
subcontact = (-1.59403,-0.884946,2.64999) 9418.28 (-912.221,-2557.37,1138.43) 27 -2.06161e-05 (4.79233e-06,1.34351e-05,-5.98072e-06) 1.23697e+06 386682 0.007614
subcontact = (-1.27003,-0.385954,2.38997) 0 (0,0,0) 26 0 (0,0,0) 0 0 0.0167049
subcontact = (-1.03803,-0.385955,2.33098) 16372 (-241.067,-3467.62,1288.67) 25 -3.38025e-05 (1.19452e-06,1.71826e-05,-6.38556e-06) 2.02815e+06 459240 0.00807241
subcontact = (-1.25403,-0.825948,2.54199) 12720.1 (-2051.81,-7577.76,3206.57) 24 -1.09078e-05 (4.22274e-06,1.55954e-05,-6.59929e-06) 654466 436320 0.0194358
subcontact = (-0.917027,-0.76895,2.435) 1565.68 (-126.922,-732.452,291.66) 23 -1.18424e-06 (3.68633e-06,1.77071e-05,-7.20913e-06) 71054.6 36239.5 0.0220349
subcontact = (-1.27003,-0.65495,2.48499) 0 (0,0,0) 22 0 (0,0,0) 0 0 0.0204544
contact = 9 1 9 0 (-0.753109,-0.687714,0.997993) (0,0,-1)
